Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
MICA,ENSG00000204520,1.84640368139536e-17,0.0917574237609844,2.63771954485051e-18,0.0013727805666233,
HLA-C,ENSG00000204525,5.63654800676753e-13,0.00000239237210819532,8.05221143823932e-14,-0.00195157512242954,
PTPN22,ENSG00000134242,4.0910072947436e-12,8.4269949829352e-7,1.28877141713394e-12,0.00720780323756894,
HLA-DQA1,ENSG00000196735,1.58853366399195e-11,5.5276303241378e-12,7.71878663962938e-10,0.00562445362129677,
IFIH1,ENSG00000115267,1.36752656807933e-10,2.78248681873094e-8,1.44344934570142e-9,-0.00672220095650191,
AGER,ENSG00000204305,2.39950948000001e-10,0.0127805914621488,2.48726357995368e-10,0.00475134402773863,
NFKBIL1,ENSG00000204498,2.81141776525828e-10,3.10419288376339e-9,1.28217490331942e-9,-0.0124289892486581,
HLA-DPB1,ENSG00000223865,4.65475769040324e-10,3.49499653662377e-8,0.0000021816231232652,-0.00391799335212595,
PRRC2A,ENSG00000204469,5.11225173305263e-10,0.00682718430496732,4.22144654816054e-10,-0.00162530235635784,
HLA-DRB5,ENSG00000198502,5.94742921578018e-10,3.02885685421472e-8,9.87800635426452e-10,0.00255130555926181,
MCCD1,ENSG00000204511,1.19164733636268e-9,1.10927927548012e-9,2.98099942508401e-8,0.0114648887505768,
HLA-DQB1,ENSG00000179344,1.22247711953349e-9,0.000587903237502796,2.48654721227897e-10,0.00157775751771245,
TYK2,ENSG00000105397,6.50699683024669e-9,0.000227174569779054,3.63712460149657e-8,-0.00466819526627814,
NOTCH4,ENSG00000204301,2.32841112613689e-8,0.642506868854979,7.76137042045629e-9,-0.000410709332614604,
OR2W1,ENSG00000204704,2.88898917011338e-8,0.0000283505632933112,2.82663559225682e-8,0.010252456944763,
TCF19,ENSG00000137310,8.95872510620066e-8,0.0000511029129319773,2.57294803240882e-8,0.0105210437958804,
ADCY7,ENSG00000121281,1.42404560476983e-7,0.0000310889349731669,7.62833036738186e-8,0.00627918220149423,
NAA25,ENSG00000111300,2.06108103695257e-7,0.00000196558746967668,0.00000114303814879868,-0.00887707630444074,
VWA7,ENSG00000204396,2.72056634331719e-7,0.00142360239275141,9.23329959157115e-8,-0.00405210639596961,
C6orf15,ENSG00000204542,3.32244741274579e-7,0.000227177663075562,1.75628370402414e-7,0.0048918256183506,
NKAPL,ENSG00000189134,6.72522282085808e-7,0.844021312521667,2.10136133604877e-7,0.00023684173073123,
CCHCR1,ENSG00000204536,7.40364102469471e-7,0.0354312089313364,2.4671919129915e-7,0.00227018453334961,
ZNF322,ENSG00000181315,0.00000108020231259776,8.18446398098693e-7,0.00000412980493447179,0.0120318867740753,
SESN3,ENSG00000149212,0.0000019442058057928,0.00000470600558133416,0.0000286059722377496,0.0189590460545882,
LAT2,ENSG00000086730,0.00000200840417430292,0.0000035700601983546,0.00000767969808090907,0.00944047965648516,
AL645922.1,ENSG00000244255,0.00000351159114364563,0.0825309335262565,0.00000126142567802301,0.00205246465463215,
HLA-B,ENSG00000234745,0.00000476579406560873,0.0000898892492973147,0.00000343582543438359,-0.00261486712645222,
SH2B3,ENSG00000111252,0.00000503530639039962,0.0389244506529558,0.00000268695736538316,0.00326650126896607,
MICB,ENSG00000204516,0.00000720470435033871,0.0009084899938816,0.00000382047419456022,-0.00520124042049962,
HLA-DRB1,ENSG00000196126,0.00000740576418012395,0.238854048820477,0.00000383827299166306,0.00071435840691953,
PNPT1,ENSG00000138035,0.0000127722065508262,0.0000742531977755423,0.0000161871442326822,0.00769911645653077,
AGRP,ENSG00000159723,0.0000153001654386031,0.0000145732588879843,0.0000903160229395183,0.0121970538369932,
EHMT2,ENSG00000204371,0.0000160654058243281,0.0192135958502697,0.000012921576617253,-0.00404764771354129,
