Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
TSHR,ENSG00000165409,1.82231831268615e-18,2.60331187526593e-19,2.93535624187418e-14,0.0595062566015055,
TG,ENSG00000042832,2.23241020125492e-14,1.91118629530932e-14,7.46005888633758e-10,0.0321602293291784,
PSORS1C1,ENSG00000204540,5.33934339311277e-13,7.62763341873252e-14,1.21859528911289e-11,0.0462822489357738,
MICA,ENSG00000204520,6.79002154502228e-9,1.39048086378324e-8,7.47279093604725e-7,-0.0136154718784747,
HLA-B,ENSG00000234745,2.61862794781464e-8,3.01976025296469e-8,0.00000196803017493696,0.0145751722648502,
IFIH1,ENSG00000115267,1.03338992363255e-7,5.85968470412368e-8,0.00000597140309210875,-0.00920042680630759,
CCHCR1,ENSG00000204536,1.73378659873435e-7,0.000183199212544283,4.7310453221705e-8,0.0108065243942545,
PSORS1C2,ENSG00000204538,0.00000216508375250335,0.0000439125571283228,0.00000201093955043419,0.0414916301317325,
TGM7,ENSG00000159495,0.0000192494930472131,0.0000382387368493831,0.0000440115767341709,0.0308346049840591,
HLA-DRB1,ENSG00000196126,0.0000542945883857948,0.0000920114935125671,0.00011939170476305,0.00340168306585795,
OR1A2,ENSG00000172150,0.000119143859181658,0.0169808911878024,0.000095885936836515,0.0674092128739248,
INTS6L,ENSG00000165359,0.000151505263126683,0.00018067197767957,0.000416978523217759,0.0851895821186802,
FAM126B,ENSG00000155744,0.000178190464035444,0.00131335927375731,0.000158405220606062,0.0540852247813368,
TAS2R39,ENSG00000236398,0.00019026859501714,0.0039858843048266,0.000151443608274238,0.035897216768317,
HDHD5,ENSG00000069998,0.000197528141079872,0.00187534971854553,0.0000908144289184509,0.0240418767551906,
SP140L,ENSG00000185404,0.000338078608717374,0.0818492115489768,0.000149606932025703,0.0132739737445874,
STK39,ENSG00000198648,0.000355704222066322,0.000554490093642057,0.00103944486479368,0.0830358294553581,
RAB35,ENSG00000111737,0.000367324363208854,0.000184513118365315,0.00153308745809966,0.199150546689682,
CTNNA2,ENSG00000066032,0.000369073936986486,0.000239458899509271,0.00232451652032539,0.111810320388573,
CYP4F2,ENSG00000186115,0.000392024954506742,0.000203123565858832,0.00865673992968763,0.0432295541375168,
BUD23,ENSG00000071462,0.000399823253871112,0.00127287911387286,0.000469049742928718,0.0461418779081187,
RFX8,ENSG00000196460,0.000401098554032808,0.000451381977306542,0.000431284500488793,0.0086214602374621,
FAM57A,ENSG00000167695,0.000409835883217635,0.000169692372172792,0.00512508978702364,0.0807338573508427,
ELN,ENSG00000049540,0.000411136907470189,0.0130252897421472,0.000294322376158229,0.0256876754889018,
MAP4,ENSG00000047849,0.000412010438603172,0.000288952735813863,0.00398785083966957,0.0441102227011915,
HLA-DQB1,ENSG00000179344,0.000479661409420906,0.000370828443370219,0.00133921520138158,0.00556818298993324,
PELI2,ENSG00000139946,0.000529236076765582,0.000345248500830952,0.00340461163409023,0.084601450048729,
RNF8,ENSG00000112130,0.000535629974753205,0.000508123473672906,0.00107142457685305,0.0573531040319656,
SPATA31A1,ENSG00000204849,0.000594004993269226,0.00788585881988679,0.000550283968526299,0.0811393982620793,
PAPPA,ENSG00000182752,0.000648858940862751,0.000813677268526991,0.00359461570883401,0.0594447195875231,
ANKS6,ENSG00000165138,0.000655620788944211,0.0275758928033011,0.000335839916045022,0.0300348735482961,
SHLD2,ENSG00000122376,0.000679293073007847,0.032572341332465,0.000334055866490601,0.0270561745527971,
CNNM3,ENSG00000168763,0.000726048178118166,0.0487125276220599,0.000327147672906314,0.0300219476929106,
PLPPR3,ENSG00000129951,0.000741732923725258,0.00248521901276111,0.000693197468383033,0.0338022001983523,
CHRND,ENSG00000135902,0.000745444031292841,0.00379205391259552,0.000664391103478268,0.0326424248883922,
KRTAP9-9,ENSG00000198083,0.000782061387244237,0.000817921379206776,0.00107003079930346,0.0642252381675686,
TARBP1,ENSG00000059588,0.00083592288689216,0.142022539418847,0.000376726806319616,0.0116235689194338,
NFATC1,ENSG00000131196,0.000848876540436749,0.000904874550119228,0.00189822972350628,0.0383477262833259,
CHD2,ENSG00000173575,0.000953231733554993,0.0219568614631278,0.000666632905300446,0.124671720484761,
SLC5A6,ENSG00000138074,0.0010290857499512,0.000769580896879951,0.0287304107412161,0.0347352373014562,
SH2B3,ENSG00000111252,0.00109019374473285,0.00707533203740041,0.0013982999317651,0.0381599166698062,
TANC1,ENSG00000115183,0.00112628820683724,0.00675047424469066,0.00122809860831063,0.0386795079011635,
TACC3,ENSG00000013810,0.00124111292813722,0.275680115121315,0.000585233531508411,0.0127082022266159,
MYOM3,ENSG00000142661,0.00124758058119978,0.000974151268109069,0.00579938065914132,0.0117272313829108,
CEP85,ENSG00000130695,0.00127360002134758,0.00612891518052072,0.00115181054105351,0.0270907504966715,
C1orf52,ENSG00000162642,0.00128721449843461,0.000749252094099928,0.00645539040527421,0.114786896270549,
GPR52,ENSG00000203737,0.00132759301475016,0.18785174935004,0.00092794240918348,0.0240316588372757,
MASTL,ENSG00000120539,0.00133728781361797,0.000597169762343031,0.0361874061873166,0.0331834287758727,
LITAF,ENSG00000189067,0.00136973582346833,0.0011286040171461,0.00224493282462324,0.162443989957776,
ADAMTSL5,ENSG00000185761,0.00140375514567981,0.000789675984300797,0.0138281469643402,0.0245545102436052,
USP43,ENSG00000154914,0.00142112131069116,0.0453439064514507,0.00093708056033559,0.0387904695892718,
CCNG1,ENSG00000113328,0.00146801087128345,0.000956170464600614,0.003626903282548,0.0788547400507965,
CPEB2,ENSG00000137449,0.00149363666801661,0.0410309306121073,0.00100132114539653,0.0171604985817121,
CD38,ENSG00000004468,0.00149693171885634,0.0687473702844653,0.00107440767619038,0.0177202327114718,
ZNF467,ENSG00000181444,0.00149964885457154,0.0213861392897025,0.000870362644744715,0.0185133997666392,
NFAM1,ENSG00000235568,0.00150089402579212,0.0214767569659252,0.00121780714683117,0.0935642428110954,
POLR2G,ENSG00000168002,0.00157655659702249,0.0146893789588858,0.00103478051454342,0.0483132085143009,
REPIN1,ENSG00000214022,0.0016064203738877,0.00169472146453442,0.00214699468799906,0.0739010791670245,
TENT4B,ENSG00000121274,0.00164214388308292,0.116552524143916,0.00119471209157596,0.0296560916774913,
ANKRD28,ENSG00000206560,0.00169081267148863,0.00519118240894745,0.00226212217656041,0.065778414393923,
ZNF563,ENSG00000188868,0.00172257446346202,0.00830501138190964,0.00162304943181368,-0.00660407219266052,
NOS3,ENSG00000164867,0.00173016850704411,0.00766922701951045,0.00221357526218835,0.02547148550333,
CCL13,ENSG00000181374,0.00177772546480637,0.00823154978651086,0.00161765660605862,0.0797624986854952,
SCAMP4,ENSG00000227500,0.0017966589781252,0.00180541821518909,0.00383467659990444,0.0798102197259646,
CCDC169-SOHLH2,ENSG00000250709,0.00183778969033677,0.00220662480822642,0.00284226789520603,0.0690851794840714,
TCP11,ENSG00000124678,0.00189324961803095,0.00148179923826741,0.00916391756128043,0.0181449555944619,
SIGMAR1,ENSG00000147955,0.00194624065357119,0.00413849666682797,0.00173904037885908,0.0476083286227075,
RTEL1,ENSG00000258366,0.00216874830576075,0.00109914376756626,0.0404482931656145,0.0368619161734529,
AP1M2,ENSG00000129354,0.00220855941088927,0.00193790600868515,0.00353986293006514,0.0199518045042106,
PAIP1,ENSG00000172239,0.00222671242731232,0.00513016138760858,0.002071910360677,0.0480353190100839,
URGCP-MRPS24,ENSG00000270617,0.00222854372496695,0.029834791790504,0.00175084806125947,0.0540257233664974,
RFFL,ENSG00000092871,0.00223935027659694,0.00479009830869992,0.00183214453478109,0.0862405978848149,
RTN4RL2,ENSG00000186907,0.00224813625297804,0.00117168397371614,0.0103704672239922,0.15874653771397,
C1orf74,ENSG00000162757,0.00224971591134104,0.0012866678897776,0.0206307683730114,0.0951423891365416,
SFTA3,ENSG00000229415,0.00237121204752222,0.00209824003603887,0.00464340977593869,0.0780781494536091,
GPR18,ENSG00000125245,0.00239151667726378,0.122307210947879,0.00118961908446658,0.0303798151084896,
TCTE1,ENSG00000146221,0.00246477397494105,0.00174909736777873,0.00770605909791933,0.029437804407847,
SH3BP4,ENSG00000130147,0.00248125752626915,0.0018955395369058,0.0102394381066335,0.062255017290664,
SEMA4A,ENSG00000196189,0.00251629699568634,0.00330747338251858,0.0062266728425131,0.0307996902254674,
OR2L2,ENSG00000203663,0.00260273030702329,,,,
ACPP,ENSG00000014257,0.00260668761329863,0.00229017845826784,0.00514331212339014,0.0266335592754706,
HLA-DRB5,ENSG00000198502,0.00265123623933328,0.35157285734506,0.00170021835237444,-0.000783587749757196,
FAM170B,ENSG00000172538,0.00267732309343349,0.0247563818112309,0.0022526760526218,0.0516358253215836,
C16orf92,ENSG00000167194,0.00268678599252148,0.00946377135971888,0.00213208729148129,0.0677427134908813,
