Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
DXO,ENSG00000204348,3.2127129827373e-14,1.64251200247052e-14,5.08902705313216e-12,-0.0126156571724167,
EGFL8,ENSG00000241404,7.80860674130185e-12,1.02536167271647e-10,1.24348759669187e-12,0.0211595561566557,
CCHCR1,ENSG00000204536,2.493535131095e-11,1.15901714108076e-11,1.53189521835141e-9,0.0105942158057622,
HLA-C,ENSG00000204525,1.0809148246022e-10,0.00282012212889393,1.54416403514599e-11,-0.00196898929807274,
ZBTB12,ENSG00000204366,3.54579809958011e-10,0.000158838589101817,2.17406651285638e-10,0.00669875063717887,
POU5F1,ENSG00000204531,3.82565534806645e-10,0.0037971194051476,3.8309545776822e-10,0.0101964761271871,
HLA-DRB5,ENSG00000198502,4.98492626632956e-10,0.0100096139020657,7.12132323761365e-11,0.00232677934732925,
NOTCH4,ENSG00000204301,2.362084336403e-9,0.706234896621753,7.87361445467667e-10,-0.000383953891590331,
ZSCAN16,ENSG00000196812,6.55457166320872e-9,3.86316625133887e-7,8.70472901383074e-9,0.0149558650424721,
HLA-DPB1,ENSG00000223865,3.28303524366191e-8,6.64822430218592e-7,4.66001637363108e-8,-0.00701966869020086,
HLA-DRB1,ENSG00000196126,3.79953578599768e-8,0.0536983550457308,2.91228172434223e-8,0.002053597192316,
HIST1H3I,ENSG00000275379,6.23569280655545e-8,4.92332820178909e-7,6.24706599783309e-8,0.013989294358502,
AGER,ENSG00000204305,1.34599599355134e-7,1.0566265851164e-7,0.0000188505764469049,-0.0166890527289245,
MICA,ENSG00000204520,1.4013254412415e-7,0.0000225091869725524,7.22852009360508e-8,-0.00664208353133881,
OR2J1,ENSG00000204702,1.40433291551112e-7,0.00000246962533656525,1.88356433672432e-7,0.0124170596723471,
PRRC2A,ENSG00000204469,1.43846298761297e-7,0.0110762625735878,5.21871371672589e-8,0.00282455524355438,
PSMB8,ENSG00000204264,1.47725044641334e-7,0.0000078125840530241,1.44914847011179e-7,0.0075940415686328,
