Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
TCF19,ENSG00000137310,1.92350123952671e-12,0.0000200273446578914,2.74785891360958e-13,0.0517409425706421,
CCHCR1,ENSG00000204536,2.95642621495062e-10,0.00157911970604496,7.93292155504387e-11,0.0171213068770338,
C6orf15,ENSG00000204542,0.00000933796032764889,0.328942039633138,0.00000343366130317602,0.00661234649996853,
SLC25A16,ENSG00000122912,0.0000148420449485043,0.000376051166294356,0.0000198824523955921,0.0828143277469563,
DHX16,ENSG00000204560,0.0000341312497581514,0.0735874822853357,0.0000216059639104316,0.0150156370185812,
ANKRD49,ENSG00000168876,0.0000349038183823369,0.023712027776835,0.0000150523359406796,0.0892188197858549,
MTHFSD,ENSG00000103248,0.0000386856416382253,0.304486787558129,0.0000165666647417018,0.00846090183301549,
ZNF81,ENSG00000197779,0.0000738569136319311,0.000368354883289124,0.0000677648136662157,0.0219978999456856,
TRIM15,ENSG00000204610,0.0000878066077073525,0.18916301567559,0.0000361186224454579,0.0070084334560035,
POLB,ENSG00000070501,0.000095304233702187,0.0000862427513443897,0.0180354587896717,0.0433815591147021,
LANCL2,ENSG00000132434,0.000100321136231818,0.000660028096424292,0.000249387185549454,0.0532121031852832,
SCAMP5,ENSG00000198794,0.000135562038357295,0.000943256536130921,0.00022114157406361,0.106411557566952,
MGLL,ENSG00000074416,0.000139094440756438,0.000114348857209845,0.00120005632360443,0.0441009833528751,
PSORS1C1,ENSG00000204540,0.000140748773537203,0.00913340377799576,0.0000944770486331903,0.0249747190861756,
PES1,ENSG00000100029,0.000212792712933174,0.0000962833651817485,0.0115753012666232,0.0303890207046161,
RNF130,ENSG00000113269,0.000222458443492224,0.00166545174890897,0.000206822514035254,0.0336752078710702,
THRA,ENSG00000126351,0.000223873411477116,0.0382428832232934,0.000104525718750414,0.0630283301492833,
ACRBP,ENSG00000111644,0.000243653348858008,0.000892152739085272,0.000460518379046038,0.0543758039019905,
ASF1B,ENSG00000105011,0.000347284367595457,0.004227197873646,0.000312684712132416,0.0866017152242622,
CHRM1,ENSG00000168539,0.000380507280602127,0.0183011768679899,0.000219807344157497,0.056831739340045,
LTA,ENSG00000226979,0.000411177169465482,0.000821630979384036,0.000396899509198967,0.0632202262276049,
OR1N2,ENSG00000171501,0.000413038368415219,0.00260872504009035,0.000371491146047176,0.0337723350118845,
CPAMD8,ENSG00000160111,0.000432178855492626,0.000330074611886833,0.00302967767926277,0.0110876403458095,
BAALC,ENSG00000164929,0.00043272532750005,0.019678640671754,0.000213815470454626,0.0771900553548228,
SRP72,ENSG00000174780,0.000449929547271855,0.000322503594875068,0.121472474031212,0.0387253766858331,
HIST1H3B,ENSG00000274267,0.000466399710593368,0.011466310112291,0.000239860795680613,0.147694710581113,
RFC5,ENSG00000111445,0.000483022842443059,0.0231733962744869,0.000254479144751407,0.0620770677433589,
PPME1,ENSG00000214517,0.000485010875817871,0.00598022920210528,0.000422971255910287,0.0820171251129134,
HSPA9,ENSG00000113013,0.000516316150468432,0.0025039764921112,0.00100543227793481,0.0571794922213037,
BCS1L,ENSG00000074582,0.000552727804132291,0.0147798303920847,0.000417215280597238,0.0384754445501079,
YWHAG,ENSG00000170027,0.000568517333706553,0.0107488234988391,0.00044120231188749,0.10556541826903,
KLHL32,ENSG00000186231,0.000571624248589919,0.000303305848356916,0.00152357836302763,0.0318594475525552,
SPATA31A1,ENSG00000204849,0.000590431368543087,0.00278589220888981,0.000561693107084871,0.0169958092459933,
ZBTB2,ENSG00000181472,0.00061124356670772,0.00135967434154471,0.000751761956593988,0.0498738494211256,
AL133352.1,ENSG00000255339,0.000651992187615358,0.0182652709635595,0.000379468412241235,0.0651042297766685,
DIRAS2,ENSG00000165023,0.000659714909773457,0.00821959232168734,0.000426558287783041,0.112508748315264,
OR1N1,ENSG00000171505,0.000723252244392514,0.0037435998062928,0.000597547873693483,0.0295513121690074,
NDUFB8,ENSG00000166136,0.000728112514534085,0.0215578105194126,0.000411365672071007,0.0626481702681269,
GGT6,ENSG00000167741,0.000739375080053062,0.000590419119108065,0.00212314816292403,0.0181358145582405,
PTPN2,ENSG00000175354,0.000788574869559078,0.00161924577100625,0.00114030343723648,0.0656710259021473,
OR6Q1,ENSG00000279051,0.00080283154178995,0.0165393098296628,0.000626991666106802,0.0232182840368465,
ZNF654,ENSG00000175105,0.000812055584473614,0.0387565371433246,0.000393937043551063,0.0163397365586645,
TMEM30B,ENSG00000182107,0.00083871293929072,0.00872767020914678,0.000648115718969056,0.0325865018801198,
U2AF1L4,ENSG00000161265,0.000843787813691321,0.0055478916317826,0.000723153334871496,0.0552503464118699,
HLA-E,ENSG00000204592,0.000847155105705877,0.0709485066277362,0.000609071753591373,0.0178501636254725,
C5orf24,ENSG00000181904,0.000847343082721386,0.0476152369830156,0.000396240386042246,0.10027240942849,
THBS1,ENSG00000137801,0.0008529112533322,0.0221391690815945,0.000606435627640067,0.02873390055559,
AC015802.6,ENSG00000284526,0.000862690398309884,0.0166499530137096,0.000497122741806244,0.0991522250514298,
CISD1,ENSG00000122873,0.000885672857831143,0.0302630778539794,0.000632048162318766,0.113491935996118,
TNFAIP8L1,ENSG00000185361,0.000914369941063198,0.0110141420238755,0.000624401419269227,0.0642747450292959,
CELF1,ENSG00000149187,0.00092473867579479,0.0220187159618693,0.000556312674518944,0.0740123348759987,
EIF4E3,ENSG00000163412,0.000940330006507062,0.0247736922111456,0.000492719153491361,0.0600474371978763,
FUCA1,ENSG00000179163,0.00094265291746376,0.015416060429992,0.000559335727905008,0.019963432148537,
ABCG2,ENSG00000118777,0.000942693615298307,0.000492667978555295,0.019362393890722,0.0265609558049659,
SLC8B1,ENSG00000089060,0.000944110254462394,0.00120837331771295,0.00142219386606635,0.0312519286300766,
SYNJ2BP,ENSG00000213463,0.000962148739929392,0.0532503556255883,0.000698311273576113,0.0565351990084275,
ARF4,ENSG00000168374,0.000981339386242785,0.0109130055722418,0.000546638266406663,0.148741129096274,
OR5M8,ENSG00000181371,0.00100965463319946,0.000628832914277844,0.0623218447767419,0.0319416404033219,
PRR9,ENSG00000203783,0.00102592308228688,0.00422981791170118,0.000963878801527152,0.128193187102899,
ARSA,ENSG00000100299,0.00104508127832037,0.000836157957203376,0.00459613503374678,0.0341628240608071,
CD151,ENSG00000177697,0.0010615718966287,0.0326561108938453,0.000717601899549503,0.0494290649226762,
DCP2,ENSG00000172795,0.00106163521406122,0.0492336152597963,0.000730007920338838,0.0400322633353564,
CNGB3,ENSG00000170289,0.00106368243126209,0.00193693622886049,0.00205502454752704,0.0216668220304717,
GBP7,ENSG00000213512,0.00109965875969553,0.0180910012165456,0.000620232224660233,0.0356857723394293,
NMBR,ENSG00000135577,0.00111465371079744,0.000555398064446155,0.0351109262789506,0.0259413026382894,
GJC3,ENSG00000176402,0.00111539046048492,0.0205995414494557,0.000639638984078039,0.0343547393746921,
GLIPR1L1,ENSG00000173401,0.00116137794373739,0.231249374517668,0.000525123868962307,0.0366431055283517,
GCDH,ENSG00000105607,0.00116321645678796,0.00802452979131218,0.00108221335218428,0.0448854355163482,
FAM161B,ENSG00000156050,0.00116403298177348,0.0791763495979998,0.000604642765262842,0.0143296783047658,
FAM168B,ENSG00000152102,0.00117106609130913,0.0525481679870293,0.000815039746999036,0.0697186703021582,
PPP2CA,ENSG00000113575,0.00121960151993461,0.00247880726158445,0.000898117236307616,0.196242436383266,
CNIH2,ENSG00000174871,0.00122505660115468,0.00709181911928769,0.000781458560194292,0.162538207321759,
RPS25,ENSG00000118181,0.00125044715407907,0.00512564162187124,0.000792233008005461,0.172719714967993,
CCL4L2,ENSG00000276070,0.00127722078065917,0.0011043817060995,0.00534412860813993,0.0371671737098404,
MCM4,ENSG00000104738,0.00130986784286891,0.00119640725476933,0.006876102037919,0.0322005559457478,
HMGCL,ENSG00000117305,0.00131373546388702,0.0466097742857404,0.000746454811012764,0.0506731553998716,
CD55,ENSG00000196352,0.00132356072878137,0.0192743944599533,0.000804157574941899,0.0566966283161112,
SPIN2B,ENSG00000186787,0.00134572636253882,0.00205191950559047,0.00130491530568011,0.11281272794894,
FEZ1,ENSG00000149557,0.00135484940305231,0.00138396277902275,0.00188510798712738,-0.0358291434423762,
ATRN,ENSG00000088812,0.00136408541256461,0.00063751783925059,0.0393868135194093,0.0207028865187113,
SPECC1L,ENSG00000100014,0.00138967653005162,0.44388793522424,0.000642470517331351,0.00506403099321377,
PRDX4,ENSG00000123131,0.00143436716438472,0.0372132151919616,0.000694154001788405,0.0618763350615191,
ACAA2,ENSG00000167315,0.00145764606150545,0.00503266767646537,0.00110135392499877,0.0257987355263464,
SPECC1L-ADORA2A,ENSG00000258555,0.00147391160806543,0.603339924755327,0.0006918209577218,0.00355094278863475,
ARHGAP29,ENSG00000137962,0.00151772429910857,0.000768145090895178,0.0220213321732432,0.0345205014767603,
DMC1,ENSG00000100206,0.00152962880917562,0.00909540103118878,0.00129980014820941,0.0664267704983108,
LY6K,ENSG00000160886,0.00154524582953819,0.0875925469850906,0.000709067969508759,0.0332079494136643,
MAOA,ENSG00000189221,0.00156937604284157,0.00498458712316108,0.00238040895064695,0.0614261801129808,
MAML3,ENSG00000196782,0.00158236185587579,0.000700324437414079,0.37202986410647,0.0161235229115019,
EEF1AKNMT,ENSG00000010165,0.00163055319914396,0.00438069693592813,0.00397610075939836,0.0407481846685337,
TCFL5,ENSG00000101190,0.00168063779226979,0.000853350542028175,0.0244706341280804,0.0334465618839529,
SLC17A2,ENSG00000112337,0.00168839777056573,0.148686229676739,0.000850617486655381,0.0126554393950664,
HINT1,ENSG00000169567,0.00174761595865702,0.00410305539203681,0.00216558046458182,0.103151718777913,
KCNQ4,ENSG00000117013,0.00178529081095891,0.352820045553712,0.000827169478665901,0.0156413805064137,
SUN5,ENSG00000167098,0.00183581244388409,0.0935666889748116,0.0011454967822071,0.0298853656267829,
DUSP11,ENSG00000144048,0.00187476581391999,0.0205059475359249,0.00109757496534668,0.0499469746231485,
OR7D2,ENSG00000188000,0.00189664173350845,0.221333488222483,0.000924113207794952,0.0239724314936851,
RABAC1,ENSG00000105404,0.00190622179270183,0.00923877482092883,0.00170567938813659,0.0904458735829949,
FAM71E1,ENSG00000142530,0.00192120391515649,0.00348473408523764,0.00171755135347595,0.036282435325131,
DEFB104A,ENSG00000176782,0.00194310971261769,0.00243071918839266,0.00184382124414972,0.370884139401257,
OR2J1,ENSG00000204702,0.00200158419558449,0.00554216768891114,0.00163908293848636,0.0381637812753125,
LSM1,ENSG00000175324,0.00201145605872355,0.0153566593515676,0.00127114936100847,0.100117480168261,
ALG14,ENSG00000172339,0.00202407306609331,0.00127403522322633,0.0122281546014156,0.0316203202305054,
TXNRD1,ENSG00000198431,0.00204155279325924,0.0107929531126219,0.00197932198668826,0.0366102400482558,
HK2,ENSG00000159399,0.00205075636881824,0.66131123131883,0.00116920096441642,-0.00331102070506401,
CALCR,ENSG00000004948,0.00210060478063756,0.011057172640044,0.00149648161640736,0.0283487877759167,
ACOT4,ENSG00000177465,0.00211315978637161,0.0375638322415537,0.00151385260559778,0.0199400239390921,
RAPGEF4,ENSG00000091428,0.00220475259982944,0.00143151377390571,0.019516677684999,0.0309262067490417,
FAM57A,ENSG00000167695,0.00220976223155467,0.00200301569309169,0.00683111355955623,0.0690575376633367,
