Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
CCHCR1,ENSG00000204536,7.86492949810843e-12,0.0000468330375437143,1.12356135687263e-12,0.055184471498885,
PSORS1C1,ENSG00000204540,2.15233164624351e-10,2.38011610420585e-7,1.06044862551265e-10,0.149713223774293,
KIAA1109,ENSG00000138688,0.0000161474504535297,0.00733948485724578,0.00000879037757184342,0.0934641737751882,
SAAL1,ENSG00000166788,0.0000175139257333479,0.0000171358971370328,0.000139196674266429,0.121876390359687,
NDUFA10,ENSG00000130414,0.0000345679829448775,0.000403216554492825,0.0000269016300729064,0.179402333905067,
RNF216,ENSG00000011275,0.0000449741456594044,0.0000612743774330848,0.000128907820207802,0.172676983357439,
SORBS3,ENSG00000120896,0.000113116050227124,0.0000548787627731029,0.00145679863954529,0.108351573904911,
DDHD2,ENSG00000085788,0.000208989892231837,0.000622168749629615,0.000361415676369159,0.129136020293399,
TNKS1BP1,ENSG00000149115,0.000212661156945626,0.000792534830433178,0.00023553252472075,0.16431345269815,
ANKS6,ENSG00000165138,0.000224470539943455,0.0129090216998091,0.000112170015702628,0.14387577236278,
PRR5,ENSG00000186654,0.000243264434114598,0.00113362219469049,0.000171588664912958,0.222437901027221,
ORC6,ENSG00000091651,0.000313342424606455,0.000319598130975485,0.000606460406892717,0.184735782747525,
TDRD12,ENSG00000173809,0.00032263016657974,0.00208436400978207,0.00026732023714926,0.143194115236363,
MCM3AP,ENSG00000160294,0.000333553857758129,0.0185930688044429,0.000164511740069262,0.0952793813923925,
THEM6,ENSG00000130193,0.000356928320063399,0.000165044552299154,0.00146536775073491,0.15443642914832,
ZDHHC9,ENSG00000188706,0.000372031041600107,0.000410478900411015,0.000356255595586163,0.251063525417017,
DCAF17,ENSG00000115827,0.000412400182507211,0.00148637198404322,0.000437047649343825,0.149518430510257,
SMO,ENSG00000128602,0.000437478728744112,0.00174750661469347,0.000369686065403663,0.147021488756741,
ARHGAP19,ENSG00000213390,0.000484140799427712,0.00132440961985947,0.000523811804242769,0.15304623825054,
TINAG,ENSG00000137251,0.000486983904723792,0.0399035132997834,0.00025619550299516,0.0773950415638337,
CCNO,ENSG00000152669,0.000487271011369805,0.00438131738522307,0.000294537703219522,0.127539039693883,
CD79A,ENSG00000105369,0.000532130448706924,0.000372881003058101,0.000964281117693533,0.260825878904884,
GBP4,ENSG00000162654,0.000537263434962965,0.00143963146866766,0.000513714387847641,0.0481577512438475,
AC015802.6,ENSG00000284526,0.000550881926132951,0.000582508551337346,0.000558073509076884,0.245523989672515,
PRR3,ENSG00000204576,0.000557788534123582,0.000471567747025947,0.000661769207571217,0.252522580761392,
FKTN,ENSG00000106692,0.000574257067269213,0.086321437579576,0.000308903788976411,0.0795297835675302,
SMC6,ENSG00000163029,0.000593837764919614,0.00656200675136098,0.00033237886285864,0.164905697957384,
MPP2,ENSG00000108852,0.000595800596938312,0.00142970582820112,0.000430750640313504,0.214516941687636,
STAMBP,ENSG00000124356,0.000624278066696626,0.000665198250178411,0.00109951989740031,0.168269075709139,
ASB6,ENSG00000148331,0.000630525323738862,0.00414786797500333,0.000403241266574539,0.179479924498705,
RPA1,ENSG00000132383,0.000641245229721865,0.00446973749138213,0.000390560187149114,0.177066050023277,
CFAP36,ENSG00000163001,0.000716489961496758,0.0413580334887705,0.000504601619499834,0.103427468485901,
PARS2,ENSG00000162396,0.00076571013919946,0.00441582137760044,0.000499184263058061,0.177464160618914,
L3MBTL2,ENSG00000100395,0.000800053616351271,0.00373972241860954,0.000514069767878378,0.182833159016557,
SMOC2,ENSG00000112562,0.000802094903739836,0.0066815941320848,0.000435304439894701,0.164357361777883,
TBC1D32,ENSG00000146350,0.000816360785687031,0.0110490337402769,0.000552416730519201,0.0733876604192357,
UROC1,ENSG00000159650,0.000832200483414591,0.0554592149049355,0.000385690128949401,0.0956342386143723,
HSF4,ENSG00000102878,0.000870663705509367,0.00943521947709136,0.000527129756818678,0.153648242349118,
NEDD8-MDP1,ENSG00000255526,0.00088835367817508,0.00123797522137226,0.000758444264864488,0.219412078988328,
MCTP2,ENSG00000140563,0.000907426148273882,0.00200800531965073,0.00136138961071075,0.0827929590534255,
MDP1,ENSG00000213920,0.000920805118825418,0.00136983435039917,0.000770185496382636,0.21599037983428,
HES1,ENSG00000114315,0.000921717172877035,0.00158139761348131,0.000874139259264162,0.402773401950324,
ANO3,ENSG00000134343,0.000963014569224208,0.0118978820496631,0.000519741134388352,0.144526877284244,
NCAPG2,ENSG00000146918,0.00108350491429354,0.00534102123812485,0.000687862586561172,0.171449820944934,
RNF182,ENSG00000180537,0.00110271666039319,0.0076130314891939,0.000953003332412661,0.158968542422264,
PIK3R3,ENSG00000117461,0.00112514652503692,0.0328917177867025,0.00056143703898015,0.108951036745087,
DGAT1,ENSG00000185000,0.00113835749523528,0.000890327435902116,0.00337330599056307,0.127812994600569,
ENTPD6,ENSG00000197586,0.00119935982315145,0.00383041679646157,0.000934104594634722,0.182059175597977,
ADAMTSL2,ENSG00000197859,0.00120039080578971,0.0124937821502709,0.00095415143114197,0.136253026139972,
NANOS1,ENSG00000188613,0.00126178511871677,0.00412078939890104,0.000869252167529533,0.179709120782934,
DSG2,ENSG00000046604,0.00140356279358966,0.0191926615093247,0.00079956278372284,0.130311390396915,
MAMDC2,ENSG00000165072,0.00142103674585337,0.0154914481502582,0.00077196776679278,0.137147679227827,
PPP1R12B,ENSG00000077157,0.00143968928682747,0.0138655521978692,0.000792920971379063,0.141023166902812,
GRIN2A,ENSG00000183454,0.00152322705452512,0.004590541460604,0.00141909348751468,0.328211395042571,
UGCG,ENSG00000148154,0.00153733033820957,0.00463826072089557,0.00138388112076759,0.327503159157554,
EGFL6,ENSG00000198759,0.00156295242114779,0.0566543644190914,0.00106431094164039,0.0890929041494119,
APOE,ENSG00000130203,0.00158181835881299,0.00191560438380789,0.00146193804055428,0.388054790503679,
PRPSAP2,ENSG00000141127,0.00160164092479853,0.020358417715225,0.00110500514837364,0.231614904401933,
ZBED4,ENSG00000100426,0.00160900374105999,0.00574045994801109,0.00142378053538195,0.313062397773187,
ADCK5,ENSG00000173137,0.00166582627572165,0.0057361604050914,0.00117770202442147,0.163795173255526,
KLHDC10,ENSG00000128607,0.00170043844393208,0.00535174905627833,0.00147327992579083,0.317795820899905,
RELT,ENSG00000054967,0.00170760079560783,0.00441454987692391,0.00118655908280108,0.177521226831564,
GRM2,ENSG00000164082,0.00174440971945511,0.00373361572026487,0.00123219768844685,0.182915128295635,
ZMYND19,ENSG00000165724,0.00174668352361507,0.00651986617788736,0.00146499960185276,0.304522413143937,
CDC73,ENSG00000134371,0.00175226237419357,0.00668727438855843,0.00153194472725748,0.302813492356492,
ALG8,ENSG00000159063,0.00178296948625667,0.0384786861052153,0.00131618806985911,0.0769763007296746,
PRR5-ARHGAP8,ENSG00000248405,0.00178467226058676,0.187654694841645,0.000891350176367434,0.0540104130525819,
AL358075.4,ENSG00000278139,0.00178601998610506,0.0645470551863341,0.000860135614066837,0.0875763715673224,
