Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
POU5F1,ENSG00000204531,4.85164508683449e-12,0.00000108975420909374,6.9309215526207e-13,0.0785581746434638,
CCHCR1,ENSG00000204536,2.00226714644349e-11,6.88967910724071e-10,2.69073162085383e-11,0.0454660914105126,
PGM2,ENSG00000169299,0.0000103353038852783,0.0000765062266756544,0.0000224915650756108,0.0858473717066816,
ZNF18,ENSG00000154957,0.000014976339641759,0.0544611427463404,0.00000534156611142755,0.0480313392400996,
IQSEC1,ENSG00000144711,0.0000321391215175604,0.0135771512402598,0.0000174093999936176,0.0193217453139889,
C1orf43,ENSG00000143612,0.0000500900727644638,0.000489678185845666,0.0000480500681500073,0.137576485604429,
DEDD,ENSG00000158796,0.0000858748570332635,0.0000710857679970811,0.0131169478548587,0.0940983046742212,
DCST1,ENSG00000163357,0.000114775783846777,0.00959545140441609,0.000104719710411816,0.0285172966859324,
IPO8,ENSG00000133704,0.000126301241546889,0.00639101878567416,0.0000980091718681964,0.0704550247394467,
ZNF784,ENSG00000179922,0.000147763096644216,0.00134971244832294,0.0000985136793270058,0.0723844024672705,
TLK2,ENSG00000146872,0.000150064923136961,0.00167689153674333,0.000191418936259291,0.086383692535211,
ACOXL,ENSG00000153093,0.000218290234249907,0.0137400520554378,0.000172865974440217,0.0247095516958481,
STK10,ENSG00000072786,0.000219150439521254,0.00103630642027386,0.000219377853064806,0.0305142666701974,
AC098588.1,ENSG00000285713,0.000230606924259136,0.0097988570063019,0.000187023430790134,0.151627669253219,
ZAR1L,ENSG00000189167,0.000239038658592983,0.0105313322168532,0.000151508785408483,0.109799479738206,
NAPG,ENSG00000134265,0.000244200267942807,0.000230474964471039,0.00268626758322266,0.0623167929312072,
RABGGTB,ENSG00000137955,0.000263555474431132,0.000693655718869479,0.000252863468071851,0.0655492779150812,
USP17L1,ENSG00000230549,0.00028770021285851,0.110911947275534,0.000129073725321671,0.0370119531893507,
NOXRED1,ENSG00000165555,0.000320244515594315,0.0104126510650137,0.000289388951964398,0.0580066484608235,
SCML4,ENSG00000146285,0.000358078444370524,0.000183896672078188,0.00676144501342857,0.0294747370130559,
ELP2,ENSG00000134759,0.000386002116789741,0.000366856639928415,0.00126396358793102,0.0395310484728836,
CFAP157,ENSG00000160401,0.000400201873836381,0.000301887388679867,0.00329564091476886,0.0849831523127184,
TSC2,ENSG00000103197,0.00042895873556037,0.000305245714783853,0.00512061174018497,0.0161798195753653,
ANAPC10,ENSG00000164162,0.000435572591783284,0.0599325587434216,0.000295123660307484,0.0914962298892111,
C1QTNF5,ENSG00000223953,0.000464326782585789,0.00301103349743537,0.00047244150887793,0.107988847014434,
TMEM186,ENSG00000184857,0.000467584014947287,0.00160318101511481,0.000448285335088783,0.0378543179727982,
RBBP7,ENSG00000102054,0.000490968667046898,0.00216438840299538,0.000615104801431787,0.0773533165622253,
