Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
FBN1,ENSG00000166147,0.000019154388357312,0.0144300489817384,0.00000990556491375916,0.0139252581592267,
HACD2,ENSG00000206527,0.0000419869774501702,0.000253725929254323,0.000125470787119442,0.0787501222581332,
DNAJC2,ENSG00000105821,0.0000507600174971534,0.000598634065801962,0.0000757794401406997,0.0521090948664236,
ALOX5,ENSG00000012779,0.000126422929433545,0.000212708346466361,0.0012468009481873,0.0396968072736498,
NPFFR1,ENSG00000148734,0.000131441045840064,0.000270525815645017,0.000202110401557709,0.021327767026604,
TSPAN33,ENSG00000158457,0.000169966730899307,0.00266322045421319,0.000171981882932437,0.0563087445953631,
TPO,ENSG00000115705,0.000176996855566158,0.0000745368457389928,0.0462084548783993,0.0248615374832215,
RPL19,ENSG00000108298,0.000186700779395421,0.0011150341119911,0.000301350449947169,0.104290330101586,
CDC25B,ENSG00000101224,0.00020669032502596,0.00106212851252374,0.000657331404969375,0.0370094319803886,
SSR3,ENSG00000114850,0.000215417380815097,0.0132198087154458,0.000119730848399446,0.0689344658584708,
FAM78B,ENSG00000188859,0.000217898912247994,0.000118052333979657,0.0333633923585965,0.0653741534105776,
SLC32A1,ENSG00000101438,0.000221939024839357,0.000179981572508536,0.00545759275352842,0.0487173059212892,
PNN,ENSG00000100941,0.000228097838249064,0.0464210550161308,0.000134424137136491,0.0144272074085103,
CASP6,ENSG00000138794,0.000277882459368883,0.000453438761157221,0.00196019281540816,0.064671495253385,
C11orf58,ENSG00000110696,0.000293216072100755,0.0414359758498111,0.00014848510025478,0.0760688703210686,
UNC5B,ENSG00000107731,0.000324925697694822,0.000141320200926831,0.0156459910320967,0.0174786591537478,
GDPD1,ENSG00000153982,0.000330815391425543,0.113613484045183,0.000135027020616185,0.0432669213546511,
ALDH7A1,ENSG00000164904,0.000344345941631352,0.00744071791515799,0.000260100852800038,0.0219207728438613,
SCAI,ENSG00000173611,0.000391492191434306,0.00538731481494414,0.000264249330790833,0.0503473671238805,
KRTAP4-9,ENSG00000212722,0.0004090332140535,0.00299774578765177,0.000337886104920693,0.0329016213799198,
UGDH,ENSG00000109814,0.00041478958631147,0.000194733290405424,0.0326744800359172,0.0524480980740361,
MARCH6,ENSG00000145495,0.000441417286942025,0.000682943748803844,0.000595847353539458,0.0290445271310049,
LRFN5,ENSG00000165379,0.000461145904549487,0.000637890449081802,0.00119455576599625,0.033986021191602,
REST,ENSG00000084093,0.000472448736481113,0.286991291460877,0.000193090578651134,0.00389712521249735,
CORO7,ENSG00000262246,0.000472504852913169,0.00557226909560871,0.000340290732978366,0.0140808064029791,
HNRNPDL,ENSG00000152795,0.000481122378408583,0.00507034988615873,0.000349782911399754,0.013295232373903,
TYSND1,ENSG00000156521,0.000490190053917594,0.00581277056391583,0.000269272452387281,0.0116182015004653,
STK32B,ENSG00000152953,0.000508339915718969,0.00160231899293461,0.00116468023183003,0.0361028476052405,
TSGA10IP,ENSG00000175513,0.000511949610459084,0.000245456993812065,0.00939198672853481,0.0182931111351043,
CDRT1,ENSG00000241322,0.000520344697176434,0.000848609111644638,0.000750215538730448,0.0175902050026106,
SPRYD7,ENSG00000123178,0.000546487807284279,0.00245679233809326,0.000646017550986255,0.0935544210530945,
FAM234A,ENSG00000167930,0.000581012448945373,0.604515326971118,0.000258680051297699,0.00310077944363987,
GDI1,ENSG00000203879,0.000608890268760542,0.00545314127939767,0.000542297523551616,0.0697970733858273,
ZNF100,ENSG00000197020,0.000672148390034155,0.000698064793870912,0.00218003769611963,0.0186110886881304,
CCK,ENSG00000187094,0.000728525424382065,0.0058213336078462,0.000576110219852488,0.0969480702804361,
MS4A6E,ENSG00000166926,0.000749379248343174,0.0219321236527124,0.000407190317393114,0.0481891473070324,
AC005324.3,ENSG00000251537,0.000796783594206318,0.00206257746695548,0.000724098367761661,0.0148873225708373,
UPK1A,ENSG00000105668,0.00080691620604445,0.00133705562807906,0.000871738746831108,0.0221292484091725,
RAP2B,ENSG00000181467,0.000849466544051714,0.00485093580394991,0.000673633599912016,0.124909280850312,
SALL1,ENSG00000103449,0.000881353761116865,0.00226021295903278,0.00134046141030342,0.01176185322023,
RELA,ENSG00000173039,0.000900525548692466,0.000816537981848997,0.00233391177717446,0.0336995508450616,
RETNLB,ENSG00000163515,0.000989030712052696,0.00796845456277318,0.000641006848709824,0.0474320779094522,
ARHGAP40,ENSG00000124143,0.00101818167268053,0.00058436233266479,0.0079095910678737,0.0226642413857477,
AAR2,ENSG00000131043,0.00102721916600312,0.0836697819186136,0.00054665686962041,0.0133609970214776,
KCNN1,ENSG00000105642,0.00105433045689896,0.0191909065535453,0.00084702040804252,0.0358526575917083,
ADNP,ENSG00000101126,0.00106371920478465,0.0215592118044825,0.000579593265434775,0.016075675668207,
OR5K3,ENSG00000206536,0.00106495220302993,0.000531194739207375,0.0157889980519513,0.0267790592453033,
PPP1R10,ENSG00000204569,0.00107235473056511,0.0298597957637905,0.000717384676734989,0.0165923788453607,
RGS13,ENSG00000127074,0.00110030584523269,0.00508982930171442,0.00128681221656524,0.0663020390999649,
MBOAT2,ENSG00000143797,0.00119878068261381,0.000847632097550677,0.0112915594773964,0.0338555938095562,
USP38,ENSG00000170185,0.00125673231003254,0.0032835394280919,0.00470739840442014,0.0347147365128796,
C9orf24,ENSG00000164972,0.00129994005833822,0.0163849141454743,0.00118095273271557,0.0204324596500862,
JCHAIN,ENSG00000132465,0.00132426665768448,0.00523358769534665,0.00132277751581755,0.0991447932828369,
HSPA8,ENSG00000109971,0.00132991301456309,0.00600978176587108,0.0018360536339872,0.0725748782290224,
BAX,ENSG00000087088,0.001334463989206,0.0127396458961153,0.000824008533967913,0.0371702263724314,
MFSD3,ENSG00000167700,0.00138154402126056,0.00151460506592693,0.00386366316735098,0.0240520274685387,
AC135068.1,ENSG00000182974,0.00138712484864567,0.00254477377094597,0.00131365163518793,0.028220262286093,
POTEB2,ENSG00000230031,0.00141291767790919,0.00215662672571493,0.00134077774885433,0.0873439020150053,
OR6T1,ENSG00000181499,0.00141533098563107,0.106735289897875,0.000687281067717094,0.00731957350013637,
KCNS2,ENSG00000156486,0.00141912990168214,0.00401600469579688,0.00141166400438197,0.0367665977921301,
RNF19B,ENSG00000116514,0.00151930221042318,0.0010649544408815,0.0993244079358773,0.0236725829580866,
KLHL42,ENSG00000087448,0.00159378317823444,0.0100111065599742,0.00156691066029957,0.0582357822554615,
ZNF563,ENSG00000188868,0.0016243376836157,0.00534567646986095,0.00113587313899333,0.0187555187370643,
FAM72B,ENSG00000188610,0.00169327261096597,0.000954104584480531,0.00272228069634628,-0.0217352753059066,
AMN1,ENSG00000151743,0.00173870371296914,0.0933988024098532,0.000821155817274932,0.0471536582007189,
MSC,ENSG00000178860,0.00176295147211669,0.0881508760751679,0.00106550020032925,0.0331751042751715,
THEM5,ENSG00000196407,0.00187147737282545,0.0321033095574829,0.00107116653709038,0.0481895831739985,
SNORC,ENSG00000182600,0.00188018308621318,0.00441952243256161,0.00196807414176237,0.0539531578842146,
DDX3X,ENSG00000215301,0.00188876393607074,0.102997461104559,0.000905161935185972,0.0428477070650589,
UBE2V2,ENSG00000169139,0.00190083567360377,0.00366435916899843,0.00194706109654197,0.0888675031774668,
SPHAR,ENSG00000213029,0.00190991885248537,0.0043962092682589,0.00174773732156308,0.125334814401889,
WFDC10B,ENSG00000182931,0.00192765277370577,0.00292235728644497,0.00299452128642752,0.108683233567489,
IL4,ENSG00000113520,0.00197764769728559,0.0886595819618019,0.00104886023174655,0.0406263850242321,
OR6C65,ENSG00000205328,0.00203493142069988,0.322302464841995,0.00136780783895907,0.0158149735067438,
CTHRC1,ENSG00000164932,0.00203785108525356,0.0200948357875596,0.00129459850345526,0.0289639175390475,
AC013489.1,ENSG00000173867,0.00205773150751176,0.00554285816718814,0.00422839801551111,0.0340694607937756,
DET1,ENSG00000140543,0.00210623356919792,0.00576180758261391,0.00428989728348006,0.0338690156970103,
MRPS34,ENSG00000074071,0.00214574791592637,0.00214695393774589,0.00287169619932615,-0.01762941654979,
