Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
IMPDH1,ENSG00000106348,0.00000511413378878611,0.000003624010240455,0.0000926844094539803,0.118736224686104,
DDHD2,ENSG00000085788,0.00000558191432098454,0.00521535025151054,0.00000510140468756859,0.095234406001677,
TM6SF1,ENSG00000136404,0.0000294543216359244,0.0001697416301778,0.0000589587096261335,0.128921054236327,
PICK1,ENSG00000100151,0.00004771828534611,0.0000348864805368443,0.000126437566848714,0.236310262413809,
PBLD,ENSG00000108187,0.000102502747688415,0.0000445652127893936,0.00132219692049473,0.178466602508855,
FAM210A,ENSG00000177150,0.000105347640600773,0.00225099231721271,0.0000968529689944209,0.199547410783186,
KCTD13,ENSG00000174943,0.000107068329626148,0.0088071502306003,0.0000816009739346146,0.155560163381462,
CIB3,ENSG00000141977,0.00010830236944448,0.0000610616531597774,0.000786129283938508,0.123537919037561,
MAP9,ENSG00000164114,0.000134062196405438,0.000953005260572404,0.000179699342832684,0.106336065776689,
ADCY9,ENSG00000162104,0.000135871605273064,0.0226032907076733,0.0000954015318062051,0.124049779109241,
LRP12,ENSG00000147650,0.000149087149559191,0.000223812196547435,0.000224348915716099,0.1919582560895,
SLC25A23,ENSG00000125648,0.000177898513138874,0.00154388615681444,0.000168715529651364,0.149838733497546,
GUSB,ENSG00000169919,0.00020008421731621,0.00415675071935773,0.0001335827964275,0.128612882812724,
GNE,ENSG00000159921,0.000234750079557311,0.00461650824629356,0.000172784813584514,0.126450276723086,
UROC1,ENSG00000159650,0.00025148712834322,0.0073525982149597,0.000145256737264066,0.0940254660079204,
TMEM243,ENSG00000135185,0.000271844142579858,0.000222995438583729,0.00120576822369567,0.125764539469319,
SUN5,ENSG00000167098,0.000292710165723631,0.0249501910855674,0.000168521486365814,0.120336694050243,
VIPAS39,ENSG00000151445,0.000342604807925584,0.00186470614510514,0.000309633462344361,0.145723537573485,
CCDC115,ENSG00000136710,0.000353477076943109,0.00451849428490247,0.000316587554781478,0.125126474466681,
KANK1,ENSG00000107104,0.000361029162084581,0.0512816094921087,0.000164824144883724,0.0576086434155471,
SCPEP1,ENSG00000121064,0.000365055254767821,0.000377857355346345,0.00120645280907428,0.118819210942326,
MTA2,ENSG00000149480,0.000392111899049752,0.000247204215541252,0.000417695045055844,0.275560310563306,
ZFHX2,ENSG00000136367,0.000425908453267176,0.0362744812063883,0.000223685217653036,0.0781700542028445,
PLBD1,ENSG00000121316,0.000438810113878363,0.00132205928028972,0.000566867272468352,0.0544356953649913,
LTA4H,ENSG00000111144,0.00047107794507617,0.0896144001326179,0.000284819129426905,0.0778419561599589,
FGD4,ENSG00000139132,0.00047309319308364,0.0140064882827255,0.000277394290548738,0.0998800227524151,
OPRK1,ENSG00000082556,0.000557650107584795,0.00181743657655831,0.000519439232807062,0.0763949322982868,
OR52K2,ENSG00000181963,0.000559047499428367,0.000797077198992469,0.0011548178647669,0.129704869942287,
PLEKHA7,ENSG00000166689,0.00056189458948408,0.000803709048914358,0.000967373655699322,0.129515110311367,
IFRD2,ENSG00000214706,0.000580309415130209,0.0191083363280122,0.000442426158037912,0.0924933678612693,
