Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
CLEC19A,ENSG00000261210,0.0000608162177475613,0.000857990531256236,0.0000567487681684131,0.0935026754349054,
YTHDF3,ENSG00000185728,0.000160740543378668,0.0373216698046491,0.0000879556484822963,0.054068619357266,
SOCS2,ENSG00000120833,0.000172613683423584,0.00136266439017296,0.000158003707232734,0.0877837075705323,
FRRS1L,ENSG00000260230,0.000175843357080874,0.0384926671908133,0.000138444193626519,0.0361260804470315,
ERCC2,ENSG00000104884,0.00018843209189634,0.00516905190354033,0.000202221583890827,0.0350244894440074,
SMIM1,ENSG00000235169,0.000229232378672117,0.00188855620367423,0.000176387732348959,0.115600402332735,
C4orf36,ENSG00000163633,0.000233465738534555,0.000489594228449186,0.000345213772636743,0.137747522110302,
AC093827.5,ENSG00000285458,0.000233465738534555,0.000489594228449186,0.000345213772636743,0.137747522110302,
FRYL,ENSG00000075539,0.000242083027997664,0.000292987759092256,0.00215616175306366,0.0306475768970624,
CNTRL,ENSG00000119397,0.00024653867534663,0.000108116729350183,0.0118956718915537,0.0242290264013445,
CLUAP1,ENSG00000103351,0.000302055520165934,0.0194119231572297,0.000248503299208558,0.0183120057621251,
IDH3G,ENSG00000067829,0.000305722903272132,0.00186980266226711,0.000486430376778091,0.0604797505498851,
PFN2,ENSG00000070087,0.000403178445522623,0.00597301084987989,0.00028211510309939,0.080177824412571,
ADNP,ENSG00000101126,0.000420416333980711,0.000380536106409535,0.00137425117689172,0.0143126799336226,
INKA1,ENSG00000185614,0.000439426326789949,0.000455726532419654,0.000728335565860605,0.0329873513382623,
FANCF,ENSG00000183161,0.000448430992487925,0.0899560086062099,0.000224276418752667,0.0109637560947032,
ISOC1,ENSG00000066583,0.00044962898981793,0.000419740048731909,0.00124931030832942,0.0312864311398457,
TYSND1,ENSG00000156521,0.000476256813497722,0.0528283945382025,0.000311180048385373,0.017777955574641,
EIF1B,ENSG00000114784,0.000481931111749212,0.00131613190092961,0.000512300875937566,0.153350608965662,
CCDC28A,ENSG00000024862,0.000491373528899164,0.00446094323184387,0.000436161334372964,0.0279504434501678,
VPS37A,ENSG00000155975,0.000499630286902364,0.00030715535560133,0.0168707569768771,0.0580508602194668,
ZNF431,ENSG00000196705,0.000502058980236586,0.00317978754549531,0.000529476272868035,0.071028988671179,
USP17L4,ENSG00000236125,0.0005402075462968,0.0222531222303901,0.00029868558032764,0.0431761859508474,
