"node1.name","node1.categoriesUMLS","node1.categoriesMedDra","node1.categoriesATC","edge1.direction","edge1.score","edge1.sourceCount","edge1.sourceCountPerType","edge1.type","node2.name","node2.categoriesUMLS","node2.categoriesMedDra","node2.categoriesATC","edge2.direction","edge2.score","edge2.sourceCount","edge2.sourceCountPerType","edge2.type","node3.name","node3.categoriesUMLS","node3.categoriesMedDra","node3.categoriesATC"
"iodine","Element, Ion, or Isotope | Pharmacologic Substance | Biologically Active Substance","","Dermatologic Agents","LTR","13.229244767224449","38","BIDIRECTIONAL: 0 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 2 | UPREGULATE: 36","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"Interferon","Pharmacologic Substance | Immunologic Factor","","SENSORY ORGAN DRUGS","LTR","13.409123652301863","36","BIDIRECTIONAL: 0 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 36","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"thyroglobulin","Pharmacologic Substance | Hormone","","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","LTR","12.657080664476855","37","BIDIRECTIONAL: 0 | DOWNREGULATE: 1 | UNIDIRECTIONAL: 3 | UPREGULATE: 33","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"Immune Checkpoint Inhibitor","Pharmacologic Substance | Immunologic Factor","","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","LTR","13.670349347208528","28","BIDIRECTIONAL: 0 | DOWNREGULATE: 1 | UNIDIRECTIONAL: 0 | UPREGULATE: 27","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"amiodarone","Pharmacologic Substance | Organic Chemical","","CARDIOVASCULAR SYSTEM DRUGS","LTR","12.478606692057303","29","BIDIRECTIONAL: 0 | DOWNREGULATE: 1 | UNIDIRECTIONAL: 0 | UPREGULATE: 28","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"Radiation","Natural Phenomenon or Process","","","LTR","12.118542583796733","22","BIDIRECTIONAL: 0 | DOWNREGULATE: 1 | UNIDIRECTIONAL: 0 | UPREGULATE: 21","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"nivolumab","Immunologic Factor | Pharmacologic Substance","","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","LTR","9.242474008552016","20","BIDIRECTIONAL: 0 | DOWNREGULATE: 1 | UNIDIRECTIONAL: 0 | UPREGULATE: 19","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"T-Lymphocyte","Cell","","","LTR","11.12102563630649","20","BIDIRECTIONAL: 0 | DOWNREGULATE: 4 | UNIDIRECTIONAL: 2 | UPREGULATE: 14","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"Coronavirus CoV-19","Virus","","","LTR","9.03677098389694","17","BIDIRECTIONAL: 0 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 1 | UPREGULATE: 16","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
"Thyroid Gland","Body Part, Organ, or Organ Component","","","LTR","10.982186959596977","17","BIDIRECTIONAL: 0 | DOWNREGULATE: 3 | UNIDIRECTIONAL: 2 | UPREGULATE: 12","UPREGULATE","Thyroiditis","Disease or Syndrome","Endocrine disorders","","LTR","6.537968296516247","6","BIDIRECTIONAL: 1 | DOWNREGULATE: 0 | UNIDIRECTIONAL: 0 | UPREGULATE: 5","UPREGULATE","Thyroid carcinoma","Neoplastic Process","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",""
